# epoch loss_total loss_data loss_phys loss_u loss_v loss_cont loss_mom_x loss_mom_y lambda1 lambda2
1.000000000000000000e+00 1.932157707214355469e+01 1.925579309463500977e+00 6.578467786312103271e-02 1.760420441627502441e+00 1.651589125394821167e-01 1.326554827392101288e-02 1.495626196265220642e-02 3.756286948919296265e-02 9.990005007163167416e-01 9.990005083532255484e-03
2.000000000000000000e+00 6.291227340698242188e+00 6.268125772476196289e-01 2.310199663043022156e-02 5.321519970893859863e-01 9.466060996055603027e-02 3.335812827572226524e-03 7.611713372170925140e-03 1.215446926653385162e-02 9.984669588071025670e-01 9.983933332248682083e-03
3.000000000000000000e+00 2.851461172103881836e+00 2.815812826156616211e-01 3.564844653010368347e-02 2.180011421442031860e-01 6.358013302087783813e-02 6.056003738194704056e-03 2.426235191524028778e-02 5.330092273652553558e-03 9.980057201444771930e-01 9.976033679884392311e-03
4.000000000000000000e+00 4.915413856506347656e+00 4.828434884548187256e-01 8.697911351919174194e-02 4.203219711780548096e-01 6.252152472734451294e-02 1.472230907529592514e-02 6.632689386606216431e-02 5.929906386882066727e-03 9.973180120931034454e-01 9.968439732831221867e-03
5.000000000000000000e+00 6.602485179901123047e+00 6.477726697921752930e-01 1.247583031654357910e-01 5.759534239768981934e-01 7.181926816701889038e-02 2.095665223896503448e-02 9.366779029369354248e-02 1.013385970145463943e-02 9.965613948222081797e-01 9.960224625217818650e-03
6.000000000000000000e+00 6.413203239440917969e+00 6.285696625709533691e-01 1.275068819522857666e-01 5.484199523925781250e-01 8.014971762895584106e-02 2.281914465129375458e-02 9.118151664733886719e-02 1.350622344762086868e-02 9.957323037679169930e-01 9.951446845122785198e-03
7.000000000000000000e+00 5.191868782043457031e+00 5.086207389831542969e-01 1.056611761450767517e-01 4.252098202705383301e-01 8.341094106435775757e-02 2.147789113223552704e-02 7.083465158939361572e-02 1.334862876683473587e-02 9.948543103297335932e-01 9.942387601642383929e-03
8.000000000000000000e+00 3.855688095092773438e+00 3.780176937580108643e-01 7.551129162311553955e-02 2.970900237560272217e-01 8.092766255140304565e-02 1.835243031382560730e-02 4.673155024647712708e-02 1.042731106281280518e-02 9.939697039032656667e-01 9.933412390826235061e-03
9.000000000000000000e+00 2.920175552368164062e+00 2.871485948562622070e-01 4.868949204683303833e-02 2.129940390586853027e-01 7.415455579757690430e-02 1.458626426756381989e-02 2.715842984616756439e-02 6.944798398762941360e-03 9.931236625547290586e-01 9.924861737163857833e-03
1.000000000000000000e+01 2.516513347625732422e+00 2.486295402050018311e-01 3.021788410842418671e-02 1.829300522804260254e-01 6.569948047399520874e-02 1.098054368048906326e-02 1.480006612837314606e-02 4.437273368239402771e-03 9.923458874603399149e-01 9.916942621445807779e-03
1.100000000000000000e+01 2.529739856719970703e+00 2.509581744670867920e-01 2.015799470245838165e-02 1.925570219755172729e-01 5.840114504098892212e-02 8.008059114217758179e-03 8.943308144807815552e-03 3.206626744940876961e-03 9.916457719207425470e-01 9.909710246886631324e-03
1.200000000000000000e+01 2.753345251083374023e+00 2.737118303775787354e-01 1.622705161571502686e-02 2.189414352178573608e-01 5.477038398385047913e-02 5.845824722200632095e-03 7.474873214960098267e-03 2.906353445723652840e-03 9.910198726376363565e-01 9.903130064444220365e-03
1.300000000000000000e+01 3.000578880310058594e+00 2.984825372695922852e-01 1.575354114174842834e-02 2.423050403594970703e-01 5.617751181125640869e-02 4.445610102266073227e-03 8.185943588614463806e-03 3.121987450867891312e-03 9.904602162943895172e-01 9.897125272226936846e-03
